did_compile,benchmark_id,benchmark_name,temperature,execution_time,llm_finished,output,total_realizability_time,num_tokens_guessed,num_tokens_generated,tries_per_token,timed_out
True,0,mbpp_80_tetrahedral_number,0.3,4.462354898452759,True," ```
function tetrahedral_number(n: number): number {
  let result = 0;
  for (let i = 1; i <= n; i++) {
    result += Math.pow(i, 3);
  }
  return result;
}
```",0.0,67,67,"Counter({(1, 67): 1})",False
True,1,mbpp_392_get_max_sum,0.3,7.018468856811523,True," ```
function get_max_sum(n: number): number {
  if (n === 1) {
    return n;
  } else {
    const leftHalf = Math.floor(n / 2);
    const rightHalf = Math.ceil(n / 2);
    const leftSum = getMaxSum(leftHalf);
    const rightSum = getMaxSum(rightHalf);
    return Math.max(leftSum + rightSum, n);
  }
}
```",0.0,117,117,"Counter({(1, 117): 1})",False
True,2,mbpp_171_perimeter_pentagon,0.3,2.8794760704040527,True," ```
function perimeter_pentagon(sideLengths: Array<number>): number {
	return sideLengths.reduce((accumulator, currentValue) => accumulator + currentValue);
}
```",0.0,49,49,"Counter({(1, 49): 1})",False
True,3,mbpp_127_multiply_int,0.3,3.72974157333374,True," ```
function multiply_int(x: number, y: number): number {
    let result = x * y;
    if (result > Number.MAX_VALUE) {
        throw new Error(""Multiplication overflow"");
    } else {
        return result;
    }
}
```",0.0,68,68,"Counter({(1, 68): 1})",False
True,4,mbpp_435_last_Digit,0.3,1.912914037704468,True," ```
function last_Digit(n: number): number {
return n % 10;
}
```",0.0,27,27,"Counter({(1, 27): 1})",False
True,5,mbpp_287_square_Sum,0.3,4.340595483779907,True," ```
function square_Sum(n: number): number {
    let result = 0;
    for (let i = 0; i < n; i++) {
        if ((i % 2) === 0) {
            result += Math.pow(i, 2);
        }
    }
    return result;
}
```",0.0,82,82,"Counter({(1, 82): 1})",False
True,6,mbpp_606_radian_degree,0.3,2.316909074783325,True," ```
function radian_degree(degree: number): number {
return degree * (Math.PI / 180);
}
```",0.0,36,36,"Counter({(1, 36): 1})",False
True,7,mbpp_803_is_perfect_square,0.3,2.9667389392852783,True," ```
function is_perfect_square(n: number): boolean {
    const root = Math.sqrt(n);
    return (root - Math.floor(root)) === 0;
}
```",0.0,48,48,"Counter({(1, 48): 1})",False
True,8,mbpp_731_lateralsurface_cone,0.3,3.763231039047241,True," ```
function lateralsurface_cone(r: number, h: number): number {
    const pi = Math.PI; // Use predefined constant PI instead of calculating it every time
    return (1 / 3) * pi * r ** 2 * h;
}
```",0.0,68,68,"Counter({(1, 68): 1})",False
True,9,mbpp_581_surface_Area,0.3,2.8320682048797607,True," ```
function surface_Area(baseEdge: number, height: number): number {
    const surface = (baseEdge * height) / 2;
    return Math.round(surface);
}
```",0.0,48,48,"Counter({(1, 48): 1})",False
True,10,mbpp_135_hexagonal_num,0.3,4.00830864906311,True," ```
function hexagonal_num(n: number): number {
  const num = (Math.sqrt((8 * n) + 1) - 1) / 2;
  if (!Number.isInteger(num)) throw new Error(""Not an integer"");
  return Math.floor(num);
}
```",0.0,74,74,"Counter({(1, 74): 1})",False
True,11,mbpp_739_find_Index,0.3,7.520157098770142,True," ```
function find_Index(n: number): number {
    let min = Number.MAX_VALUE;
    let i = 1;
    while (i <= Math.pow(10, n)) {
        if (isTriangleNumber(i) && i.toString().length === n) {
            min = Math.min(min, i);
        }
        i++;
    }
    return min;
}

function isTriangleNumber(num: number): boolean {
    const root = Math.sqrt(num * 2);
    return num % 2 === 0 && root ** 2 === num;
}
```",0.0,150,150,"Counter({(1, 150): 1})",False
True,12,mbpp_17_square_perimeter,0.3,1.9988093376159668,True," ```
function square_perimeter(sideLength: number): number {
  return 4 * sideLength;
}
```",0.0,29,29,"Counter({(1, 29): 1})",False
True,13,mbpp_77_is_Diff,0.3,2.729833602905273,True," ```
function is_Diff(num: number): boolean {
	return num % 11 === 0;
}
```",0.0,36,36,"Counter({(1, 36): 1})",False
True,14,mbpp_126_sum,0.3,6.614434242248535,True," ```
function sum(a: number, b: number): number {
  const divisors = [];
  let i = 1;
  while (i <= Math.min(a, b)) {
    if (a % i === 0 && b % i === 0) {
      divisors.push(i);
    }
    i++;
  }
  return divisors.reduce((accumulator, currentValue) => accumulator + currentValue, 0);
}
```",0.0,118,118,"Counter({(1, 118): 1})",False
True,15,mbpp_266_lateralsurface_cube,0.3,3.669787168502808,True," ```
function lateralsurface_cube(sideLength: number): number {
    // Calculate the lateral surface area of a cube by multiplying the perimeter by 6
    const perimeter = 4 * sideLength;
    return perimeter * 6;
}
```",0.0,67,67,"Counter({(1, 67): 1})",False
True,16,mbpp_797_sum_in_range,0.3,4.302166223526001,True," ```
function sum_in_range(l: number, r: number): number {
  let total = 0;
  for (let i = l; i <= r; i++) {
    if (i % 2 !== 0) {
      total += i;
    }
  }
  return total;
}
```",0.0,80,80,"Counter({(1, 80): 1})",False
